eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
background,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,de30b34d-9579-4fa0-aa68-9a152c2bc211,,,,,,,,2018-09-29T03:14:10+09:00,522e3b3e-a3a1-4279-985d-06d4b43b4646,,True
launchInSession,,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,,,,,,,,2018-09-29T03:14:11+09:00,fcd9c49d-526d-4bfc-bde2-068ca3ae094b,,False
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,unattributed,unattributed,,,,home.view,,2018-09-29T03:14:13+09:00,1144f914-b032-40f2-84ca-7642fc0015c5,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,unattributed,unattributed,,,,inbox.view,,2018-09-29T03:14:15+09:00,2e4dc205-0877-415d-b986-339eba052bcd,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G930S,samsung,Android8.0.0,ca78b884-d045-40b8-bbee-f3ad18d0403b,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T03:14:16+09:00,d9fb320a-1e3c-4914-be0e-8752f0fb8176,False,True
foreground,,com.kmong.kmong,3.3.2,SM-G930S,samsung,Android8.0.0,ca78b884-d045-40b8-bbee-f3ad18d0403b,,,,,,,,2018-09-29T03:14:16+09:00,826c5277-10be-4c0f-a16b-603ddc2465b9,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,unattributed,unattributed,,,,menu.view,,2018-09-29T03:14:16+09:00,afcadd87-38f5-4a5b-ae52-f375e6385a62,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,unattributed,unattributed,,,,seller_selling_history.view,,2018-09-29T03:14:17+09:00,03a052c1-ab67-41bc-85ea-4745f1fc9b6e,False,True
background,,com.kmong.kmong,3.3.2,SM-G930S,samsung,Android8.0.0,ca78b884-d045-40b8-bbee-f3ad18d0403b,,,,,,,,2018-09-29T03:14:18+09:00,cdaaa4d9-7415-44af-a848-86a954fe3db6,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,004ae4cb-4d37-4ab9-83de-9ffd0ed0c54d,unattributed,unattributed,,,,menu.view,,2018-09-29T03:14:18+09:00,e36d258e-6db4-46e4-95ec-9442ed8f1e44,False,True
